,fractional_year,O7_O6_ratio,C6_C4_ratio,C6_C5_ratio,Fe_O_ratio,O_ave_charge,velocity,density
0,2022.049315714517,0.0898651108145713,2.458389520645142,0.4442648887634277,0.1502127200365067,6.074951171875,494.797,2.82344
1,2022.049334740233,0.0831576064229011,2.841863870620728,0.4104220271110535,0.1608668714761734,6.072842121124268,489.727,2.9659
2,2022.04935376595,0.0984692275524139,2.527931690216064,0.328493058681488,0.1322573125362396,6.086164951324463,491.465,2.65348
3,2022.049372791667,0.0709840431809425,2.794870615005493,0.356665313243866,0.1358815133571625,6.060819625854492,490.259,2.89073
4,2022.049391817383,0.0780358836054801,1.416381120681763,0.3293673098087311,0.1547013968229294,6.068971633911133,493.497,2.96546
5,2022.0494108431,0.0933626219630241,1.772223591804504,0.2912764549255371,0.1569334715604782,6.073153495788574,495.14,2.88917
6,2022.049429868817,0.0657027289271354,2.699774503707886,0.3682939410209656,0.1323678195476532,6.058468818664551,492.394,2.91015
7,2022.049448894533,0.0815622434020042,3.120644092559814,0.4438820779323578,0.1130471751093864,6.077913284301758,499.747,2.90531
8,2022.04946792025,0.0939478352665901,2.013493776321411,0.4154140055179596,0.1205290108919144,6.071091175079346,497.249,2.87448
9,2022.049486945966,0.080907218158245,2.053954362869263,0.3517435491085052,0.1192780286073685,6.077348232269287,489.417,2.80794
10,2022.049505971651,0.1236158236861229,1.750239014625549,0.3466545045375824,0.1264996081590652,6.094513416290283,492.007,2.73748
11,2022.049524997336,0.0806946009397506,2.518404006958008,0.4490832388401031,0.1552954465150833,6.078594207763672,495.874,2.79878
12,2022.049544023053,0.0907893925905227,4.347499370574951,0.4340246617794037,0.1547046154737473,6.094184398651123,508.423,2.82707
13,2022.04956304877,0.0609163902699947,2.309837818145752,0.4024741053581238,0.1565546095371246,6.071577072143555,507.629,2.8283
14,2022.049582074486,0.0553712733089923,1.883013248443604,0.3806781768798828,0.1503563225269318,6.044230461120605,500.435,2.89758
15,2022.049601100171,0.0723984986543655,3.085833787918091,0.4055155813694,0.1687649190425873,6.074260234832764,493.313,2.82303
16,2022.049620125888,0.0843341127038002,1.657618761062622,0.2883121073246002,0.1508781611919403,6.080642700195313,488.75,2.75461
17,2022.049639151604,0.0950169041752815,2.41667652130127,0.3338138163089752,0.1890407502651215,6.080146312713623,494.698,2.74217
18,2022.049658177321,0.0782593414187431,2.464032411575317,0.4645496010780334,0.1395842730998993,6.074754238128662,501.109,2.99452
19,2022.049677203038,0.0981493145227432,2.329727172851563,0.3636370897293091,0.1190247088670731,6.095479488372803,499.126,3.06631
20,2022.049696228754,0.0776496902108192,2.207135677337646,0.3268433511257172,0.1812774091959,6.067872047424316,498.61,3.04868
21,2022.049715254471,0.0378306210041046,1.369006395339966,0.3394415974617004,0.1654409915208817,6.052855491638184,485.891,2.99764
22,2022.049734280188,0.0692616403102874,2.521775960922241,0.4744001030921936,0.162773996591568,6.085067749023438,470.53,2.77323
23,2022.049753305904,0.0771078094840049,1.681444406509399,0.4231405258178711,0.1586742699146271,6.046744346618652,470.653,2.9894
24,2022.049772331621,0.0797295719385147,2.032787799835205,0.259738951921463,0.1361630111932755,6.098326206207275,473.578,3.09807
25,2022.049791357338,0.068501591682434,2.393855094909668,0.4676787555217743,0.1488538533449173,6.057023525238037,477.144,3.06032
26,2022.049810383054,0.0818372964859008,2.353762149810791,0.4267847836017609,0.1207860261201859,6.049388408660889,478.791,3.43314
27,2022.049834201547,0.0774580389261245,2.456564664840698,0.4385745227336884,0.1360587626695633,6.054617881774902,475.842,3.58539
28,2022.049853227454,0.0555663667619228,2.500367641448975,0.3853453993797302,0.1335476785898209,6.046442031860352,478.37,3.3967
29,2022.049872253171,0.0365212149918079,1.73428213596344,0.4477846026420593,0.1660611927509308,6.030007839202881,477.418,3.46676
30,2022.049891278856,0.0536703281104564,1.430687308311462,0.4003877341747284,0.1781442761421204,6.039618492126465,480.187,3.36292
31,2022.049910304572,0.0841944441199302,1.836648344993591,0.5771263241767883,0.1681396663188934,6.053103923797607,478.65,3.24047
32,2022.049929330289,0.0673490837216377,2.063090085983276,0.277142196893692,0.159467339515686,6.087732791900635,477.558,2.8525
33,2022.049948356006,0.0671746432781219,1.693437933921814,0.3633469045162201,0.1466664969921112,6.060877799987793,467.185,3.16934
34,2022.049967381723,0.0588667541742324,2.943213939666748,0.4080149531364441,0.1423276364803314,6.038074016571045,469.034,3.60512
35,2022.049986407439,0.0679330602288246,2.144050598144531,0.3855865895748138,0.1250806003808975,6.054092407226563,468.615,3.374
36,2022.050005433156,0.1180318892002106,3.786495685577393,0.4189697802066803,0.1331892013549805,6.107269763946533,464.849,3.08308
37,2022.050024458872,0.1065654009580612,1.788329124450684,0.4792358875274658,0.1350832879543304,6.076671123504639,460.353,3.39789
38,2022.050043484589,0.0818506181240081,2.963924884796143,0.4768027365207672,0.1466173976659775,6.08972692489624,460.841,3.36621
39,2022.050062510306,0.0787761583924293,1.812924981117249,0.3369936645030975,0.1579757630825043,6.075201034545898,459.123,3.51424
40,2022.050081536022,0.1030246987938881,3.303952932357788,0.4132908880710602,0.1541790962219238,6.1003737449646,451.103,3.38802
41,2022.050100561739,0.069988690316677,1.782264947891235,0.4609555602073669,0.1694830358028412,6.062272071838379,464.235,3.51684
42,2022.050119587424,0.0355561301112175,2.88210654258728,0.3648310899734497,0.147971510887146,6.052027702331543,459.731,3.56857
43,2022.05013861314,0.0825222954154014,1.865632057189941,0.3798783719539642,0.1785262376070023,6.08670711517334,461.909,3.73971
