Solar Orbiter data in 2022
fractional_year,O7_O6_ratio,C6_C4_ratio,C6_C5_ratio,Fe_O_ratio,O_ave_charge,velocity,density
2022.862438634703,0.1701439470052719,4.912577629089355,0.5755250453948975,0.1212652102112770,6.154300689697266,394.042,19.2207
2022.862457660578,0.1586484014987946,4.214451789855957,0.5568865537643433,0.1316637247800827,6.154983520507813,379.476,20.2938
2022.862476686485,0.1496873199939728,3.528147697448730,0.4504083395004272,0.1327371150255203,6.147748947143555,402.884,23.4661
2022.862495712392,0.1565127074718475,3.328183412551880,0.4709234535694122,0.1158515140414238,6.155544281005859,397.173,23.1173
2022.862514738267,0.1547501534223557,3.348912477493286,0.4928032159805298,0.1303891241550446,6.152101516723633,407.040,23.4763
2022.862533764143,0.1786279380321503,3.985110044479370,0.6166236400604248,0.1217591017484665,6.169716835021973,404.854,24.0766
2022.862552790049,0.1699437052011490,3.947082281112671,0.5114725828170776,0.1274790465831757,6.154065608978271,404.536,22.6774
2022.862571815925,0.1825018972158432,3.416744470596313,0.4426459670066833,0.1316199302673340,6.176779270172119,392.301,20.8875
2022.862590841832,0.1929523497819901,3.780243635177612,0.5332458019256592,0.1330495774745941,6.179649353027344,377.047,22.1538
2022.862609867707,0.1710259616374969,3.513454675674438,0.5058598518371582,0.1313315182924271,6.190599918365479,390.654,23.4051
2022.862628893582,0.1599926203489304,4.963536262512207,0.5468073487281799,0.1284286677837372,6.148894786834717,385.336,23.1582
2022.862647919489,0.1693021208047867,4.832448959350586,0.4800586998462677,0.1310156136751175,6.149196624755859,374.368,22.6733
2022.862666945364,0.1761427819728851,3.851006031036377,0.4699779152870178,0.1315845698118210,6.158876419067383,374.520,22.4604
2022.862685971271,0.1748194992542267,3.600226402282715,0.5307206511497498,0.1338143348693848,6.174216747283936,376.381,22.8682
2022.862704997146,0.1608928143978119,3.778429031372070,0.5136097073554993,0.1360022574663162,6.169560909271240,395.990,24.0658
2022.862724023053,0.1722917407751083,3.726981639862061,0.5049991011619568,0.1189747601747513,6.179536342620850,390.303,24.3710
2022.862743048928,0.1702290773391724,3.884518146514893,0.5618506669998169,0.1346577405929565,6.152170181274414,379.585,22.9083
2022.862762074835,0.1549575477838516,4.012851238250732,0.4206649661064148,0.1344235986471176,6.149060726165771,375.873,22.3701
2022.862781100710,0.1350251585245132,3.297594547271729,0.4156796932220459,0.1428204476833344,6.143531799316406,370.327,21.9685
2022.862800126585,0.1274902969598770,4.983628273010254,0.5316787362098694,0.1262180954217911,6.137822151184082,376.914,23.4669
2022.862819152492,0.1401956081390381,3.260369777679443,0.3769171535968781,0.1526519805192947,6.139520645141602,368.703,22.3511
2022.862838178399,0.1588058024644852,4.103467941284180,0.4841469824314117,0.1440845429897308,6.155586719512939,368.243,22.0612
2022.862857204274,0.1680145561695099,3.686881542205811,0.4706189930438995,0.1369680613279343,6.177427768707275,376.066,23.4555
2022.862876230181,0.1761278808116913,4.031843185424805,0.5650871992111206,0.1160307079553604,6.160618305206299,381.841,23.4897
2022.862895256057,0.1837367117404938,3.767592906951904,0.4684940278530121,0.1324914395809174,6.189742088317871,394.143,24.1329
2022.862914281963,0.1487188935279846,4.061327457427979,0.5955004692077637,0.1343032717704773,6.155949592590332,384.535,23.1357
2022.862933307839,0.1717763543128967,3.630786180496216,0.4712330996990204,0.1354324519634247,6.169838428497314,382.764,23.8813
2022.862952333746,0.1644185483455658,5.021928310394287,0.4988070130348206,0.1128055527806282,6.165936946868896,372.918,23.2769
2022.862971359621,0.1457012891769409,3.541719675064087,0.4773191511631012,0.1427471041679382,6.139925479888916,376.112,22.4531
2022.862990385528,0.1435973495244980,3.858951330184937,0.4621232748031616,0.1477736979722977,6.125058174133301,380.112,19.7606
2022.863009411403,0.1236767098307610,3.363282442092896,0.4646111726760864,0.1565756499767303,6.158459186553955,367.626,20.9776
2022.863014167903,0.1690620481967926,5.163608074188232,0.4267760515213013,0.1237643435597420,6.159817695617676,367.130,20.8729
2022.863033193810,0.1671397686004639,4.827898979187012,0.3964367508888245,0.1370529383420944,6.149721145629883,366.106,21.8258
2022.863052219685,0.1735703498125076,3.628591060638428,0.4486861824989319,0.1427846550941467,6.167704105377197,365.899,20.7871
2022.863071245592,0.1783697903156281,3.000277996063232,0.4316477179527283,0.1367286294698715,6.152193069458008,365.795,20.7696
2022.863090271467,0.1258568167686462,3.554020166397095,0.4047580361366272,0.1551460921764374,6.117181301116943,366.927,20.7914
2022.863109297374,0.1572394222021103,4.421961307525635,0.4662796854972839,0.1337697058916092,6.161135673522949,365.501,20.5950
2022.863128323281,0.1852346956729889,4.327321529388428,0.4764242172241211,0.1409215927124023,6.151923179626465,368.111,21.7113
2022.863147349156,0.1662753671407700,2.577684640884399,0.3844713270664215,0.1381953209638596,6.173992633819580,350.198,18.9662
2022.863166375063,0.1786291301250458,3.153617620468140,0.4708355963230133,0.1201537847518921,6.201105594635010,350.684,19.5991
2022.863185400939,0.1690814197063446,2.813201189041138,0.4611028730869293,0.1204909905791283,6.156140327453613,357.232,20.3908
2022.863204426845,0.1694555878639221,4.406282424926758,0.4908910095691681,0.1181755065917969,6.151153087615967,368.058,20.6858
2022.863223452752,0.1845660358667374,4.085577011108398,0.4342362880706787,0.1226429268717766,6.156021595001221,369.607,20.9933
2022.863242478628,0.1701373755931854,4.459493160247803,0.5008131861686707,0.1255880594253540,6.163827419281006,374.136,20.3159
2022.863261504534,0.1624957323074341,3.111893415451050,0.4057743847370148,0.1515181511640549,6.129745483398438,365.234,19.6434
2022.863280530410,0.1601442545652390,3.114975214004517,0.4168243706226349,0.1481952667236328,6.144052505493164,369.932,20.3114
2022.863299556317,0.1450503021478653,4.023050308227539,0.4492388367652893,0.1332629472017288,6.145454883575439,366.895,20.5154
2022.863318582223,0.1091424375772476,3.072059154510498,0.4374223053455353,0.1352018117904663,6.094384670257568,364.781,20.6468
2022.863337608099,0.1400135159492493,4.715391635894775,0.4816269278526306,0.1337324678897858,6.130714416503906,362.606,20.3522
2022.863356634005,0.1271382570266724,5.203693389892578,0.4264687597751617,0.1676141917705536,6.131095886230469,360.332,20.2004
2022.863375659912,0.1626759916543961,3.920131921768188,0.4172409176826477,0.1434307992458344,6.168362140655518,362.410,21.7396
2022.863394685788,0.09657406806945801,3.165090799331665,0.3945868909358978,0.1637393236160278,6.118464946746826,358.097,20.2449
2022.863413711694,0.1273077875375748,3.425690650939941,0.3590403199195862,0.1487342119216919,6.098999977111816,346.716,18.1094
2022.863432737601,0.1437632143497467,3.791688203811646,0.4290554225444794,0.1362302750349045,6.119476318359375,347.077,18.0559
2022.863451763477,0.1242965236306190,3.613788604736328,0.4536667168140411,0.1553357243537903,6.112342357635498,349.192,19.3471
2022.863470789383,0.1534691005945206,5.265920162200928,0.4567036628723145,0.1508022397756577,6.144104957580566,354.657,20.5068
2022.863489815259,0.1465722620487213,4.568738460540771,0.4551590085029602,0.1217135488986969,6.144047737121582,349.822,19.2238
2022.863508841166,0.1166178286075592,3.771067142486572,0.4521028399467468,0.1481398344039917,6.109830856323242,355.266,21.5775
2022.863527867072,0.1484441459178925,4.022049903869629,0.5159711837768555,0.1270882040262222,6.132313728332520,355.332,20.5681
2022.863546892948,0.1388974189758301,3.635282516479492,0.4113822877407074,0.1615908443927765,6.140677452087402,360.933,21.8172
2022.863565918855,0.1522661894559860,3.171887636184692,0.4098786115646362,0.1567736715078354,6.145377159118652,365.516,20.8038
2022.863584944761,0.1113074123859406,3.889900207519531,0.4161452949047089,0.1928089261054993,6.104858398437500,361.254,21.0954
2022.863603970637,0.1148841381072998,4.677326679229736,0.3882952332496643,0.1537070423364639,6.105925083160400,363.747,18.7636
2022.863622996544,0.1488426625728607,5.706789970397949,0.5457209944725037,0.1648924648761749,6.142374515533447,351.878,17.9288
2022.863646836124,0.1730437427759171,6.315166473388672,0.5995237827301025,0.1358935981988907,6.158108234405518,349.798,18.9066
2022.863665862126,0.1866195499897003,3.604502439498901,0.4333065748214722,0.1753444373607635,6.176057338714600,356.035,18.5113
2022.863684888033,0.1753897070884705,3.815587997436523,0.4719862937927246,0.1560686081647873,6.167141914367676,343.738,19.8156
2022.863703913908,0.1905194073915482,5.148777008056641,0.3962187767028809,0.1370252370834351,6.169994354248047,341.773,19.2829
2022.863722939815,0.1611334085464478,3.027262687683105,0.4826328754425049,0.1552443206310272,6.146079063415527,345.738,19.9849
2022.863741965690,0.1784507781267166,4.293441772460938,0.4866467118263245,0.1141334548592567,6.173529148101807,347.248,19.1557
2022.863760991597,0.1267286241054535,3.768752813339233,0.3717225193977356,0.1676425635814667,6.154654979705811,346.899,19.0845
2022.863780017504,0.1534359604120255,3.753249168395996,0.4008409380912781,0.1450492739677429,6.134082794189453,350.221,20.0554
2022.863799043379,0.1511008590459824,3.457208395004272,0.5102984309196472,0.1574165374040604,6.134552001953125,340.376,18.4823
2022.863818069286,0.1720083206892014,3.203878164291382,0.3238482177257538,0.1429205834865570,6.141836643218994,340.736,19.0430
2022.863837095193,0.1388365328311920,3.743309974670410,0.5460708737373352,0.1722512394189835,6.162805080413818,335.974,19.1948
2022.863856121068,0.1459796279668808,5.472943305969238,0.4867207109928131,0.1577167510986328,6.140888690948486,341.464,21.7681
2022.863875146975,0.1777069419622421,3.881033658981323,0.3874969184398651,0.1500285416841507,6.179289340972900,345.326,20.5443
2022.863894172850,0.1845242977142334,4.197104454040527,0.5020657181739807,0.1639760285615921,6.149710178375244,350.656,24.5824
2022.863913198757,0.1300689280033112,3.520535945892334,0.4139832556247711,0.1769203841686249,6.118906021118164,348.940,21.7309
2022.863932224664,0.1128536090254784,4.120460033416748,0.5167065858840942,0.1796145886182785,6.143827438354492,350.246,23.9612
2022.863951250539,0.1978095620870590,7.116281509399414,0.6024999618530273,0.1624853909015656,6.196052551269531,350.594,25.5352
2022.863970276446,0.1274587213993073,4.818394660949707,0.4567179381847382,0.1539978384971619,6.127169609069824,351.324,24.5958
2022.863989302353,0.1649134010076523,4.328762054443359,0.4306226074695587,0.1422896981239319,6.190021038055420,355.256,23.3804
2022.864008328228,0.1752461791038513,3.632157802581787,0.5511267185211182,0.1497046649456024,6.179770946502686,363.411,24.0890
2022.864027354135,0.1353030651807785,5.461531162261963,0.4666693806648254,0.1395044624805450,6.142085075378418,362.418,23.8579
2022.864046380010,0.1588344424962997,4.966856002807617,0.5612211227416992,0.1384876221418381,6.153810977935791,355.040,24.7714
2022.864065405917,0.1730158179998398,4.820453643798828,0.5187856554985046,0.1539472937583923,6.156088829040527,356.156,25.1066
2022.864084431824,0.1394254863262177,4.380461215972900,0.3803158402442932,0.1400850713253021,6.137485027313232,353.499,24.5661
2022.864103457699,0.1405441164970398,2.281572818756104,0.3250357210636139,0.1885811388492584,6.138170242309570,344.203,24.5510
2022.864122483606,0.1276673823595047,4.215873718261719,0.4329380095005035,0.2030774652957916,6.125993728637695,353.981,24.0749
2022.864141509481,0.1455118656158447,5.790733814239502,0.5774441361427307,0.1632185429334641,6.137318611145020,338.017,19.9022
2022.864160535388,0.1749459952116013,4.540204048156738,0.5172675848007202,0.1245180070400238,6.144482612609863,337.351,17.9392
2022.864179561295,0.1539269834756851,3.636399507522583,0.4441643357276917,0.1983890682458878,6.138689517974854,340.560,21.6648
2022.864198587170,0.1434078514575958,4.499807834625244,0.5038503408432007,0.1583949029445648,6.138782024383545,347.546,23.6959
